Pallet_ID,timestamp,latitude,longitude,Power_Consumption
Y0623,00:00.0,41.79556685,-87.5753315,174.5940017
S21000,10:54.1,40.58461811,-73.84556975,88.52548384
A8624,21:07.6,41.9968645,-87.82919859,51.85930789
I21001,32:42.3,40.5765736,-74.30772215,181.8533432
Q11002,43:36.4,40.55157977,-74.20695895,153.6272233
X01350,45:00.0,45.38862433,-122.7377725,197.9886325
S61003,54:30.6,40.97174859,-73.8864506,173.1730617
H7625,03:22.7,41.70198369,-88.17350975,78.00040004
B71351,05:24.0,45.6031208,-122.4398591,55.85863186
G8626,13:56.4,42.04326553,-88.18622045,58.92464198
J21004,16:18.8,40.85631937,-73.97172773,141.3521486
E71630,20:15.5,39.96931564,-75.35145456,81.23052387
G4250,30:00.0,32.59424501,-117.0124843,130.4569976
X01352,36:00.0,45.35023811,-122.2618848,129.8014754
J2251,41:04.4,32.49520714,-117.3656593,122.3016595
D0627,45:37.8,41.69283772,-89.20863951,175.334201
B11353,46:12.0,45.60385061,-122.1197577,72.96473752
N41005,49:01.1,40.7620188,-74.19943133,99.72074907
I51631,51:02.1,39.68998387,-75.18844637,86.29716348
U4252,52:08.8,32.83948706,-117.0337448,167.3421099
F5628,56:11.6,41.72786308,-89.71743843,96.17468559
V41006,59:55.2,40.75556055,-74.27596548,146.7985375
R3777,05:11.7,47.47528875,-122.316031,190.8020631
N51354,06:36.0,45.46579739,-121.8333562,82.0831579
D51632,11:33.1,40.04014447,-75.20938068,137.619549
T7253,14:17.6,32.96297335,-117.1786855,97.69691103
Z8778,15:17.6,47.44815404,-122.3643519,57.74693257
W61355,16:48.0,45.84393547,-121.7336845,51.18022027
F3629,17:19.1,41.49349215,-90.21253856,85.49240208
R41007,21:43.4,40.76132317,-74.44873139,196.4928856
A11633,21:48.7,40.05541873,-75.25754141,124.0759861
Z5254,25:22.0,32.85159766,-116.8963555,66.77657396
G2779,25:23.4,47.78691346,-122.1409216,196.890274
B31356,26:59.9,45.63828173,-121.8366419,59.58415845
F7630,27:52.9,41.51364058,-90.2176254,113.573391
P31634,32:04.2,39.86015199,-75.4262416,195.6974012
Y0780,35:29.3,47.48783273,-121.795442,84.05872701
B9255,36:26.4,32.62518202,-116.558979,118.0019849
D0631,38:26.7,41.70447471,-90.30309071,130.2807046
U4781,45:35.2,47.48376253,-121.8715449,135.9460051
N8256,47:30.8,32.77587049,-116.5351439,155.7268071
J51635,52:35.2,39.61828159,-75.5695779,121.9443642
I7257,58:35.2,32.94409593,-116.3884891,88.26872748
E5632,59:34.2,41.37068457,-90.14467823,86.48242571
M11008,05:19.9,40.92279424,-74.95014898,79.9062871
U91357,07:47.9,45.88613647,-121.5473435,166.5773817
Z5258,09:39.6,32.81596858,-116.6696099,115.4416067
J1633,10:08.0,41.43467184,-90.40836176,102.5576471
T21358,17:59.9,45.58212295,-121.1274859,58.58384011
Z7634,20:41.8,41.84579721,-90.74364448,132.1666224
F61636,23:21.8,39.82698189,-75.92433168,181.9576536
M7782,25:58.6,47.38684161,-121.687217,183.0572219
S1259,31:48.4,32.81935397,-116.6542685,138.5136591
I2783,36:04.5,47.64335168,-121.355172,156.7881271
X91009,38:02.2,40.8108636,-75.05129753,165.3673271
G8635,41:49.3,41.61575583,-91.42630342,99.65875056
D8260,42:52.8,32.73836011,-116.0889333,186.5557187
C91637,43:52.8,39.22551484,-76.36772396,79.96974436
B3784,46:10.3,47.37990668,-121.2666713,122.1192338
C11010,48:56.3,40.91212685,-74.92004697,188.9419469
S5636,52:23.1,41.52714575,-91.30082807,153.4753988
P0261,53:57.2,32.56591239,-116.2457177,176.972309
P91359,58:47.9,45.71797783,-120.8417104,141.5189411
F4637,02:56.9,41.89786136,-91.46135529,186.0415463
J71638,14:39.4,39.61071982,-76.33930934,110.4577972
L0785,16:27.9,47.19041724,-121.1009764,59.67163801
K91360,19:11.9,45.59777034,-119.7698566,117.2027407
A9638,24:04.5,41.68284009,-91.88166617,74.69240339
F0639,34:38.2,41.7641725,-92.02163982,179.9929198
R1786,36:39.6,47.37538104,-120.9844169,115.2995942
D3262,38:14.8,32.9847107,-116.0209814,149.6313982
W2787,46:45.5,46.87805663,-120.8218839,79.98117271
N6263,49:19.2,32.61773681,-115.4030125,156.119409
P21011,54:21.0,41.26860852,-75.70087176,61.95461055
G81639,55:41.5,39.25457612,-76.67792465,122.7646881
P4640,55:45.8,41.71554646,-92.40343422,173.908782
C71205,00:00.0,30.43053101,-97.64475235,65.23515515
R9264,00:23.6,32.6556687,-114.6627766,139.9611298
Z6641,06:19.6,41.62379996,-92.915863,133.8772701
K2788,06:57.2,46.90100108,-120.6893357,62.56993352
T4874,07:57.5,33.89372295,-84.34184367,57.94091677
S81206,10:04.2,30.44877833,-97.96352955,58.10697918
N11361,10:11.9,45.73679536,-118.4064654,96.19976205
R81640,16:12.6,39.33634271,-76.82511849,93.14452386
H11362,20:23.9,45.75099458,-118.3469032,66.80956764
K3265,22:32.3,32.77455808,-114.4200842,66.18048989
P11207,30:12.5,30.31008145,-98.03367628,195.7515627
I81363,30:35.8,45.52458188,-118.3151807,62.17508837
C1875,30:55.0,33.97250349,-84.46757062,90.92229496
W4266,33:36.7,32.86636192,-114.4090247,121.0620869
E2642,38:00.9,41.79450835,-93.5839671,110.1472668
O01208,40:16.6,30.25523797,-98.04938926,61.90131175
H61364,40:47.8,45.21630296,-118.4501934,130.3493178
G2876,42:23.8,33.99409689,-84.67836742,97.10874246
W9267,44:41.1,32.80145889,-114.3387139,188.5135796
T21641,46:59.1,39.54272523,-77.24448026,117.5416132
C6789,47:20.7,46.57010217,-120.3981481,90.4008414
L2643,48:34.7,41.82991224,-93.66405722,193.3345794
T91365,50:59.8,45.57439951,-118.2404881,163.1435733
U2877,53:52.6,33.94205328,-84.71211715,176.912766
K3268,55:45.5,32.65677888,-114.3639676,88.75976606
Q41642,57:14.6,39.28977417,-77.41143364,106.8056085
Q8790,57:26.5,46.57177193,-120.2208287,149.9036152
L61012,59:45.6,40.8034104,-76.79088683,120.9953472
Z61500,05:00.0,33.94342293,-84.33413986,126.9870417
A4878,05:21.3,34.00388898,-84.85672597,132.8569309
T6269,06:49.9,32.69321258,-113.9167312,71.83883208
I81643,07:30.2,39.3683688,-77.40764348,99.1080081
B51013,10:39.7,41.16594064,-77.16871099,166.066578
V01366,11:23.8,45.50061839,-117.8396063,55.82358904
Y0879,16:50.1,34.48848459,-84.78131388,153.9379688
P0270,17:54.3,32.93397371,-113.6767578,63.68187404
I51209,20:33.3,30.07731135,-97.9141734,70.24381597
C01014,21:33.9,41.08266499,-77.28673237,125.9134966
P9791,27:44.1,46.0030957,-119.5884671,89.22067355
W61644,28:01.2,39.50872067,-77.99928724,83.75377192
U4880,28:18.8,34.16970733,-84.92494134,129.6950506
J4271,28:58.7,32.8470065,-113.3913006,143.357826
P51210,30:37.4,29.98514674,-98.30392381,75.49328322
J2644,30:49.8,41.62884813,-94.59130666,156.0993092
B81015,32:28.0,41.29385943,-77.48534398,118.4878567
Z9272,40:03.1,33.14806913,-112.8487001,77.66911657
S01016,43:22.1,41.27790799,-77.4983375,193.0174785
U91645,48:32.3,38.95158547,-77.70425882,199.0297883
N6273,51:07.5,33.08702566,-112.5324458,87.68602302
O2645,51:57.4,41.50889294,-95.24668023,153.4851464
L3792,58:01.7,45.99900433,-119.234034,92.81391365
K3274,02:11.9,32.69031722,-112.4697219,194.7792475
O61367,02:23.8,44.43280246,-117.3276916,158.914078
F4646,02:31.1,41.39913673,-95.34648322,59.74756253
U31211,10:54.1,29.96966635,-98.31673479,199.7531625
U21368,12:35.8,44.25071436,-117.1012927,77.91250159
G1647,13:04.9,41.511515,-95.16246401,177.1448571
X4275,13:16.3,33.07909768,-112.4934483,197.5866897
N71017,16:04.4,41.09129445,-77.74071533,107.8626304
Z81501,16:19.5,34.04761592,-84.78510192,136.0369834
U21646,19:18.8,39.07397108,-77.91877553,121.3949061
A1648,23:38.7,41.66592474,-95.57028669,139.3932189
K7881,25:42.6,35.06474285,-84.97056281,97.01475578
X61018,26:58.5,41.06739227,-78.21390323,135.2762049
V5793,28:19.3,45.6397736,-118.4395198,107.0728723
T0649,34:12.5,41.4129131,-95.711004,96.33504701
M6276,35:25.1,32.67783947,-111.6219615,109.0047042
K4882,37:11.4,34.86179406,-85.23200706,123.4466334
